,ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,TIPO_DE_CALLE,COMUNA,pos x,pos y,PARTICIPANTES,VICTIMA,ACUSADO
106,2016-0136,1,2016-10-25,2016,10,25,00:00:00,0.0,autopista,4,-58.166024,-34.77207,moto-cargas,moto,cargas
107,2016-0137,1,2016-10-25,2016,10,25,00:39:00,0.0,avenida,11,-58.51537091,-34.59035925,moto-moto,moto,moto
108,2016-0138,1,2016-10-27,2016,10,27,20:30:00,20.0,avenida,13,-58.45909670,-34.55922742,bicicleta-cargas,bicicleta,cargas
109,2016-0139,1,2016-10-28,2016,10,28,23:00:00,23.0,avenida,14,-58.42008769,-34.56539579,moto-moto,moto,moto
110,2016-0140,1,2016-10-31,2016,10,31,02:58:00,2.0,avenida,13,-58.45566399,-34.56147293,pasajeros-pasajeros,pasajeros,pasajeros
111,2016-0142,1,2016-11-05,2016,11,5,23:30:00,23.0,avenida,1,-58.37533517,-34.59276462,moto-pasajeros,moto,pasajeros
112,2016-0143,1,2016-11-06,2016,11,6,04:41:00,4.0,avenida,8,-58.44451316,-34.68475866,moto-sd,moto,
113,2016-0144,1,2016-11-07,2016,11,7,12:10:00,12.0,avenida,4,-58.35975012,-34.63343907,peaton-pasajeros,peaton,pasajeros
114,2016-0145,1,2016-11-07,2016,11,7,20:56:00,20.0,avenida,13,-58.44523595,-34.55953855,moto-auto,moto,auto
115,2016-0146,1,2016-11-09,2016,11,9,20:00:00,20.0,avenida,4,-58.39626094,-34.63036565,peaton-pasajeros,peaton,pasajeros
116,2016-0147,1,2016-11-16,2016,11,16,21:15:00,21.0,avenida,1,-58.38896772,-34.61799615,movil-pasajeros,movil,pasajeros
117,2016-0148,1,2016-11-16,2016,11,16,22:20:00,22.0,avenida,15,-58.46536113,-34.59484504,moto-moto,moto,moto
118,2016-0150,1,2016-11-18,2016,11,18,18:20:00,18.0,avenida,4,-58.40879146,-34.65273216,cargas-cargas,cargas,cargas
119,2016-0152,1,2016-11-23,2016,11,23,21:10:00,21.0,avenida,7,-58.46451841,-34.64991946,moto-auto,moto,auto
